role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
pilot,-0.039715394377708435,0.005069531500339508,-0.05901159346103668,-0.08732591569423676
pirate,-0.026208624243736267,0.008454494178295135,-0.0335850864648819,-0.08627801388502121
planner,-0.04474502429366112,-0.0001811981201171875,-0.06470762193202972,-0.084813192486763
playwright,-0.04062231630086899,-0.002233903855085373,-0.09004174172878265,-0.09196639060974121
podcaster,-0.035974811762571335,0.007401794195175171,-0.07741957157850266,-0.07741957157850266
poet,-0.058582790195941925,-0.017385713756084442,-0.08175940066576004,-0.09380179643630981
polymath,-0.05695318058133125,-0.04100620746612549,-0.11923409253358841,-0.11923409253358841
pragmatist,-0.10964677482843399,-0.10775740444660187,-0.12436358630657196,-0.1341085433959961
predator,-0.016967669129371643,0.013529002666473389,-0.03237425535917282,-0.07687705755233765
presenter,-0.044987477362155914,-0.006440509110689163,-0.08938143402338028,-0.09298162162303925
prey,-0.028504975140094757,0.0016999170184135437,-0.038542911410331726,-0.07239720225334167
prisoner,-0.04565264284610748,-0.0013408586382865906,-0.0522548109292984,-0.0798988789319992
procrastinator,-0.07407919317483902,-0.052423398941755295,-0.09026852995157242,-0.09026852995157242
prodigy,-0.01991642452776432,0.01834610104560852,-0.07230447232723236,-0.07230447232723236
producer,0.09105856716632843,0.09105856716632843,-0.09516702592372894,-0.09929244220256805
programmer,-0.04421906918287277,0.0035178735852241516,-0.09249574691057205,-0.09056656062602997
proofreader,-0.061734870076179504,-0.026730407029390335,-0.11088377237319946,-0.11088377237319946
prophet,-0.005712863057851791,0.023198913782835007,-0.019505850970745087,-0.05258208513259888
provincial,-0.06156162917613983,-0.02836095169186592,-0.07265531271696091,-0.10104303061962128
provocateur,-0.040238313376903534,-0.03440017253160477,-0.07510478794574738,-0.07510478794574738
