role,norm,dim,max_abs,mean_abs,norm_centered,score_at_alpha_1_0,score_at_alpha_1_5,score_at_alpha_2_0,score_at_alpha_2_5,delta_high_minus_low,score_slope,score_curve_r2,peak_alpha,late_alpha_drop,monotonic,subdim_consistency,sub25_cmp_emotional_register,sub25_cmp_vocab_choice,sub25_cmp_social_dynamic,sub25_cmp_motivation,sub25_cmp_worldview_alignment,n_questions_total
divorcee,3.7866673469543457,4096,1.1262497901916504,0.03984621912240982,1.3145909,46.5921052631579,51.666666666666664,62.6359649122807,68.08333333333333,21.49122807017543,15.088596491228065,0.9774957184609726,2.5,0.0,True,7.816103450396994,61.425438596491226,59.78947368421053,59.824561403508774,66.35964912280701,62.65350877192982,912
doctor,3.6273608207702637,4096,1.1078128814697266,0.0373571440577507,1.372203,59.71615720524017,60.61572052401747,60.24561403508772,59.38427947598253,-0.33187772925764136,-0.2731479353405348,0.10376870481385767,1.5,1.231441048034938,False,1.9654361655932349,56.17903930131004,49.45414847161572,46.39737991266376,57.838427947598255,50.698689956331876,916
dreamer,4.30637788772583,4096,1.3413281440734863,0.04568399488925934,1.9087485,52.85964912280702,61.80701754385965,77.3859649122807,88.94736842105263,36.08771929824561,24.768421052631574,0.990469804220662,2.5,0.0,True,14.429295985942096,76.55701754385964,75.48245614035088,77.41228070175438,78.4342105263158,76.15350877192982,912
echo,4.408325672149658,4096,1.3832035064697266,0.0473242849111557,2.0655155,67.4780701754386,71.85526315789474,82.53508771929825,89.79385964912281,22.315789473684205,15.525438596491224,0.9779184603428356,2.5,0.0,True,7.375859480428852,72.03947368421052,72.60964912280701,71.53508771929825,74.29824561403508,72.25,912
economist,3.1092607975006104,4096,0.7814846038818359,0.033902786672115326,1.2969345,58.96491228070175,59.76315789473684,58.46491228070175,57.92982456140351,-1.0350877192982466,-0.8807017543859658,0.5318784297171799,1.5,1.8333333333333357,False,2.515102237038866,49.51754385964912,46.074561403508774,47.719298245614034,53.728070175438596,48.223684210526315,912
ecosystem,3.8572025299072266,4096,1.2145309448242188,0.04092486575245857,1.6352593,50.324561403508774,53.75438596491228,60.33771929824562,73.77631578947368,23.45175438596491,15.387719298245614,0.9200232653451239,2.5,0.0,True,8.526715839281978,59.078947368421055,56.666666666666664,55.526315789473685,58.99122807017544,52.55701754385965,912
editor,3.631335496902466,4096,0.9110941886901855,0.039513155817985535,1.4977523,67.1359649122807,68.39035087719299,67.97368421052632,67.00877192982456,-0.12719298245613686,-0.1596491228070164,0.02402309187432865,1.5,1.3815789473684248,False,3.186893473555678,60.48245614035088,57.06140350877193,56.973684210526315,68.20175438596492,63.75,912
egregore,4.143143653869629,4096,1.330312728881836,0.04375072941184044,1.787621,32.07017543859649,38.026315789473685,54.276315789473685,79.85087719298245,47.78070175438596,31.918421052631572,0.9297188415159426,2.5,0.0,True,15.229807173635328,52.30263157894737,51.6140350877193,50.85526315789474,59.39912280701754,51.35964912280702,912
elder,3.6333460807800293,4096,1.024062156677246,0.039250150322914124,1.2258008,56.3421052631579,60.33771929824562,66.12280701754386,73.37719298245614,17.03508771929824,11.378070175438593,0.9838282267401464,2.5,0.0,True,7.213020881191713,60.28508771929825,59.01315789473684,58.50877192982456,69.58333333333333,64.33771929824562,912
eldritch,4.520429611206055,4096,1.491405963897705,0.04866475239396095,2.1713767,25.736842105263158,31.907894736842106,51.60964912280702,81.14473684210526,55.4078947368421,37.18508771929824,0.9264818162096368,2.5,0.0,True,14.509567908932885,42.98245614035088,44.51754385964912,43.90350877192982,48.223684210526315,39.18859649122807,912
emissary,3.759427547454834,4096,1.134765625,0.03998763486742973,0.96405923,74.21052631578948,75.28070175438596,78.54824561403508,79.37280701754386,5.1622807017543835,3.750877192982455,0.9415504845199755,2.5,0.0,True,2.195262373482996,62.916666666666664,56.82017543859649,58.81578947368421,70.17543859649123,65.30701754385964,912
empath,3.936230421066284,4096,1.2174224853515625,0.041131794452667236,1.2508062,66.51965065502183,70.4934497816594,76.75109170305677,79.89082969432314,13.37117903930131,9.274235807860261,0.9850398514584772,2.5,0.0,True,6.436272743571448,65.4585152838428,63.777292576419214,64.95633187772926,67.9475982532751,63.75545851528384,916
engineer,3.751711845397949,4096,0.885312557220459,0.0409669429063797,1.6376632,76.46052631578948,78.49122807017544,81.1842105263158,81.80263157894737,5.34210526315789,3.7438596491228053,0.9525301172058427,2.5,0.0,True,2.627208105747285,65.81140350877193,65.32894736842105,64.14473684210526,74.3201754385965,70.95614035087719,912
