role,alpha,steered_score_mean,norm,norm_centered
contrarian,1.5,52.09649122807018,3.4793078899383545,1.2553077936172485
contrarian,2.0,61.23245614035088,3.4793078899383545,1.2553077936172485
contrarian,2.5,69.8859649122807,3.4793078899383545,1.2553077936172485
coordinator,1.0,82.60526315789474,4.01427698135376,1.2562896013259888
coordinator,1.5,82.64473684210526,4.01427698135376,1.2562896013259888
coordinator,2.0,81.91266375545851,4.01427698135376,1.2562896013259888
coordinator,2.5,75.39301310043668,4.01427698135376,1.2562896013259888
coral_reef,1.0,60.530701754385966,3.8589999675750732,1.875428557395935
coral_reef,1.5,68.85526315789474,3.8589999675750732,1.875428557395935
coral_reef,2.0,79.54385964912281,3.8589999675750732,1.875428557395935
coral_reef,2.5,91.00438596491227,3.8589999675750732,1.875428557395935
cosmopolitan,1.0,79.32894736842105,3.577693223953247,1.0151599645614624
cosmopolitan,1.5,82.08771929824562,3.577693223953247,1.0151599645614624
