role,alpha,subdim,steered_mean,aa_mean,advantage
actor,1.0,vocab_choice,49.18859649122807,48.44298245614035,0.7456140350877192
actor,1.0,social_dynamic,44.91228070175438,41.00877192982456,3.903508771929822
actor,1.0,motivation,54.49561403508772,48.88157894736842,5.6140350877193015
actor,1.0,worldview_alignment,49.62719298245614,44.03508771929825,5.59210526315789
actor,1.5,emotional_register,53.07017543859649,38.24561403508772,14.824561403508774
actor,1.5,vocab_choice,55.48245614035088,47.675438596491226,7.807017543859651
actor,1.5,social_dynamic,52.74122807017544,42.41228070175438,10.328947368421055
actor,1.5,motivation,62.23684210526316,53.20175438596491,9.035087719298247
actor,1.5,worldview_alignment,56.75438596491228,48.026315789473685,8.728070175438596
actor,2.0,emotional_register,60.19736842105263,24.846491228070175,35.35087719298245
actor,2.0,vocab_choice,59.3421052631579,31.82017543859649,27.521929824561408
actor,2.0,social_dynamic,59.3421052631579,28.092105263157894,31.250000000000004
actor,2.0,motivation,68.88157894736842,43.35526315789474,25.526315789473685
actor,2.0,worldview_alignment,64.29824561403508,38.37719298245614,25.921052631578945
actor,2.5,emotional_register,68.83771929824562,13.399122807017545,55.43859649122807
actor,2.5,vocab_choice,63.59649122807018,15.50438596491228,48.0921052631579
actor,2.5,social_dynamic,66.8201754385965,15.570175438596491,51.25
actor,2.5,motivation,74.71491228070175,29.714912280701753,45.0
actor,2.5,worldview_alignment,70.10964912280701,23.728070175438596,46.38157894736842
addict,1.0,emotional_register,25.04366812227074,22.00873362445415,3.034934497816593
addict,1.0,vocab_choice,32.838427947598255,30.87336244541485,1.965065502183407
addict,1.0,social_dynamic,28.34061135371179,25.633187772925766,2.707423580786024
addict,1.0,motivation,26.069868995633186,23.406113537117903,2.6637554585152827
addict,1.0,worldview_alignment,22.729257641921397,20.17467248908297,2.5545851528384276
addict,1.5,emotional_register,34.737991266375545,26.375545851528383,8.362445414847162
addict,1.5,vocab_choice,41.89956331877729,34.82532751091703,7.074235807860262
addict,1.5,social_dynamic,37.81659388646288,30.152838427947597,7.663755458515286
addict,1.5,motivation,35.58951965065502,28.427947598253276,7.161572052401745
addict,1.5,worldview_alignment,31.921397379912662,24.716157205240176,7.205240174672486
addict,2.0,emotional_register,46.17903930131004,22.270742358078603,23.908296943231438
addict,2.0,vocab_choice,51.572052401746724,27.336244541484717,24.235807860262007
addict,2.0,social_dynamic,47.86026200873363,25.851528384279476,22.008733624454152
addict,2.0,motivation,47.7292576419214,29.23580786026201,18.49344978165939
addict,2.0,worldview_alignment,44.00873362445415,25.21834061135371,18.79039301310044
addict,2.5,emotional_register,55.81140350877193,14.342105263157896,41.469298245614034
addict,2.5,vocab_choice,57.65350877192982,14.956140350877194,42.69736842105263
addict,2.5,social_dynamic,56.00877192982456,15.197368421052632,40.81140350877193
addict,2.5,motivation,56.92982456140351,22.763157894736842,34.166666666666664
addict,2.5,worldview_alignment,53.478070175438596,17.93859649122807,35.53947368421053
adolescent,1.0,emotional_register,31.48471615720524,34.86899563318777,-3.384279475982531
