role,alpha,steered_score,aa_score
improviser,2.0,85.88157894736842,52.14473684210526
improviser,2.5,90.95175438596492,20.81140350877193
infant,1.0,3.7280701754385963,4.37280701754386
infant,1.5,7.2894736842105265,9.894736842105264
infant,2.0,14.359649122807017,13.530701754385966
infant,2.5,22.69736842105263,19.157894736842106
influencer,1.0,66.92543859649123,62.84649122807018
influencer,1.5,74.85087719298245,64.95614035087719
influencer,2.0,81.84649122807018,48.078947368421055
influencer,2.5,84.10087719298245,20.17543859649123
instructor,1.0,92.82894736842105,92.4780701754386
instructor,1.5,92.8201754385965,91.52631578947368
instructor,2.0,89.9298245614035,62.60087719298246
instructor,2.5,84.41228070175438,29.29824561403509
interpreter,1.0,65.37719298245614,65.42543859649123
interpreter,1.5,67.48245614035088,65.78947368421052
interpreter,2.0,69.7280701754386,46.73684210526316
interpreter,2.5,69.71052631578948,20.833333333333332
interviewer,1.0,79.76315789473684,78.0657894736842
interviewer,1.5,80.4342105263158,77.69298245614036
interviewer,2.0,80.95175438596492,55.14035087719298
interviewer,2.5,77.91228070175438,23.70614035087719
jester,1.0,38.0,36.06140350877193
jester,1.5,45.78508771929825,39.578947368421055
jester,2.0,59.71052631578947,37.92982456140351
jester,2.5,72.97368421052632,11.228070175438596
journalist,1.0,72.41228070175438,67.33771929824562
journalist,1.5,78.00438596491227,67.45614035087719
journalist,2.0,81.35964912280701,43.89473684210526
journalist,2.5,82.26315789473684,19.736842105263158
judge,1.0,62.30701754385965,64.49122807017544
judge,1.5,63.478070175438596,64.04385964912281
judge,2.0,62.12280701754386,44.61842105263158
judge,2.5,60.89912280701754,15.548245614035087
lawyer,1.0,60.99126637554585,61.248908296943235
lawyer,1.5,61.53711790393013,61.995633187772924
lawyer,2.0,62.056768558951966,40.53711790393013
lawyer,2.5,63.25764192139738,13.995633187772926
leviathan,1.0,35.68421052631579,35.425438596491226
leviathan,1.5,39.916666666666664,37.80701754385965
leviathan,2.0,51.49122807017544,36.35087719298246
leviathan,2.5,75.50438596491227,12.105263157894736
librarian,1.0,71.85964912280701,72.04385964912281
librarian,1.5,71.89035087719299,71.3201754385965
librarian,2.0,70.90789473684211,45.37280701754386
librarian,2.5,67.48245614035088,16.25
linguist,1.0,47.14473684210526,46.19298245614035
linguist,1.5,47.56140350877193,45.28508771929825
linguist,2.0,49.771929824561404,32.09649122807018
linguist,2.5,54.78508771929825,12.280701754385966
loner,1.0,41.14912280701754,40.728070175438596
loner,1.5,45.521929824561404,43.48684210526316
loner,2.0,50.925438596491226,40.333333333333336
loner,2.5,62.219298245614034,20.32894736842105
luddite,1.0,32.15350877192982,33.05263157894737
luddite,1.5,36.32017543859649,35.15350877192982
luddite,2.0,41.61842105263158,30.609649122807017
luddite,2.5,50.17982456140351,16.403508771929825
marketer,1.0,64.55701754385964,63.3421052631579
marketer,1.5,65.07456140350877,65.04824561403508
marketer,2.0,66.05263157894737,45.04385964912281
marketer,2.5,66.76315789473684,15.109649122807017
martyr,1.0,35.25877192982456,37.76315789473684
martyr,1.5,40.76754385964912,41.978070175438596
martyr,2.0,49.86842105263158,42.26754385964912
martyr,2.5,63.08771929824562,22.69736842105263
mathematician,1.0,61.51754385964912,56.00877192982456
mathematician,1.5,64.76754385964912,57.6578947368421
mathematician,2.0,67.76315789473684,39.54385964912281
mathematician,2.5,71.00438596491227,21.82017543859649
maverick,1.0,57.50877192982456,48.62719298245614
maverick,1.5,71.73245614035088,50.60964912280702
maverick,2.0,85.37719298245614,39.96491228070175
maverick,2.5,89.8640350877193,17.390350877192983
mechanic,1.0,38.921052631578945,36.223684210526315
mechanic,1.5,46.75438596491228,37.70175438596491
mechanic,2.0,60.23684210526316,22.67543859649123
mechanic,2.5,66.92105263157895,17.017543859649123
mediator,1.0,82.31140350877193,84.71491228070175
mediator,1.5,83.23245614035088,85.4780701754386
mediator,2.0,83.40789473684211,67.15789473684211
mediator,2.5,81.67105263157895,27.214912280701753
mentor,1.0,89.60087719298245,88.49122807017544
mentor,1.5,89.38157894736842,86.67105263157895
mentor,2.0,88.71929824561404,61.35087719298246
mentor,2.5,85.1359649122807,22.236842105263158
merchant,1.0,50.723684210526315,44.6140350877193
merchant,1.5,56.63157894736842,46.68859649122807
merchant,2.0,66.5701754385965,33.66228070175438
merchant,2.5,77.40789473684211,15.701754385964913
minimalist,1.0,33.46052631578947,57.11842105263158
minimalist,1.5,34.9078947368421,64.44736842105263
minimalist,2.0,40.01315789473684,51.14473684210526
minimalist,2.5,41.969298245614034,12.916666666666666
moderator,1.0,80.77631578947368,84.12280701754386
moderator,1.5,77.59649122807018,82.83333333333333
moderator,2.0,71.53070175438596,59.84649122807018
moderator,2.5,60.021929824561404,27.17982456140351
