role,alpha,method,score,start_score,gap_to_baseline,gap_closed
artisan,1.5,steered,64.28384279475982,56.49781659388646,24.71615720524018,0.23955394330243168
artisan,1.5,assistant_axis,58.17903930131004,55.60698689956332,30.82096069868996,0.07702366941284161
artisan,2.0,steered,74.96943231441048,56.49781659388646,14.030567685589517,0.5683192261185007
artisan,2.0,assistant_axis,45.8471615720524,55.60698689956332,43.1528384279476,-0.292271479011377
artisan,2.5,steered,81.68859649122807,56.49781659388646,7.311403508771932,0.7750488507982303
artisan,2.5,assistant_axis,17.280701754385966,55.60698689956332,71.71929824561403,-1.1477336600295034
ascetic,1.0,steered,34.10964912280702,34.10964912280702,54.89035087719298,0.0
ascetic,1.0,assistant_axis,38.73684210526316,38.73684210526316,50.26315789473684,0.0
ascetic,1.5,steered,37.04824561403509,34.10964912280702,51.95175438596491,0.05353575709149018
ascetic,1.5,assistant_axis,42.925438596491226,38.73684210526316,46.074561403508774,0.0833333333333333
ascetic,2.0,steered,38.95614035087719,34.10964912280702,50.04385964912281,0.08829404714342781
ascetic,2.0,assistant_axis,40.94736842105263,38.73684210526316,48.05263157894737,0.043979057591623016
ascetic,2.5,steered,42.00438596491228,34.10964912280702,46.99561403508772,0.1438274071114662
ascetic,2.5,assistant_axis,18.33333333333333,38.73684210526316,70.66666666666667,-0.40593368237347305
assistant,1.0,steered,94.7061403508772,94.7061403508772,-5.706140350877206,-0.0
assistant,1.0,assistant_axis,93.46052631578948,93.46052631578948,-4.46052631578948,-0.0
assistant,1.5,steered,94.2938596491228,94.7061403508772,-5.293859649122794,0.07225211375865158
assistant,1.5,assistant_axis,91.05701754385964,93.46052631578948,-2.0570175438596436,0.5388397246804345
assistant,2.0,steered,92.82894736842104,94.7061403508772,-3.8289473684210407,0.3289777094542696
assistant,2.0,assistant_axis,60.95614035087719,93.46052631578948,28.04385964912281,7.287118977384456
assistant,2.5,steered,89.46491228070175,94.7061403508772,-0.4649122807017534,0.9185242121445046
assistant,2.5,assistant_axis,18.394736842105264,93.46052631578948,70.60526315789474,16.82890855457225
auctioneer,1.0,steered,36.526315789473685,36.526315789473685,52.473684210526315,0.0
auctioneer,1.0,assistant_axis,34.0,34.0,55.0,0.0
auctioneer,1.5,steered,42.675438596491226,36.526315789473685,46.324561403508774,0.11718488799732525
auctioneer,1.5,assistant_axis,35.15350877192982,34.0,53.84649122807018,0.020972886762360397
auctioneer,2.0,steered,53.67982456140351,36.526315789473685,35.32017543859649,0.3268973587428953
auctioneer,2.0,assistant_axis,25.57456140350877,34.0,63.42543859649123,-0.1531897926634769
auctioneer,2.5,steered,68.84210526315789,36.526315789473685,20.15789473684211,0.6158475426278835
auctioneer,2.5,assistant_axis,11.359649122807015,34.0,77.64035087719299,-0.41164274322169064
auditor,1.0,steered,62.7280701754386,62.7280701754386,26.271929824561397,0.0
auditor,1.0,assistant_axis,63.12280701754386,63.12280701754386,25.877192982456137,0.0
auditor,1.5,steered,63.64912280701754,62.7280701754386,25.35087719298246,0.03505843071786276
auditor,1.5,assistant_axis,65.15350877192982,63.12280701754386,23.846491228070178,0.07847457627118622
auditor,2.0,steered,65.04824561403508,62.7280701754386,23.951754385964918,0.08831385642737852
auditor,2.0,assistant_axis,45.469298245614034,63.12280701754386,43.530701754385966,-0.6822033898305088
auditor,2.5,steered,67.60526315789474,62.7280701754386,21.39473684210526,0.18564273789649408
auditor,2.5,assistant_axis,13.114035087719298,63.12280701754386,75.8859649122807,-1.9325423728813562
avatar,1.0,steered,55.44298245614035,55.44298245614035,33.55701754385965,0.0
avatar,1.0,assistant_axis,55.276315789473685,55.276315789473685,33.723684210526315,0.0
avatar,1.5,steered,64.89035087719299,55.44298245614035,24.109649122807014,0.2815318259051106
avatar,1.5,assistant_axis,60.86842105263158,55.276315789473685,28.131578947368418,0.16582130316035903
avatar,2.0,steered,78.53508771929825,55.44298245614035,10.464912280701753,0.6881453404783688
avatar,2.0,assistant_axis,52.60964912280702,55.276315789473685,36.39035087719298,-0.07907400182078286
avatar,2.5,steered,87.10526315789474,55.44298245614035,1.8947368421052602,0.9435367925761339
avatar,2.5,assistant_axis,15.49561403508772,55.276315789473685,73.50438596491227,-1.179607231109377
bard,1.0,steered,47.40350877192982,47.40350877192982,41.59649122807018,0.0
bard,1.0,assistant_axis,50.85526315789474,50.85526315789474,38.14473684210526,0.0
bard,1.5,steered,51.79824561403509,47.40350877192982,37.20175438596491,0.10565162378743155
bard,1.5,assistant_axis,56.38157894736842,50.85526315789474,32.61842105263158,0.14487754398068284
bard,2.0,steered,59.71491228070175,47.40350877192982,29.285087719298247,0.29597216364403206
bard,2.0,assistant_axis,59.98245614035088,50.85526315789474,29.017543859649123,0.23927791192365175
bard,2.5,steered,68.56140350877193,47.40350877192982,20.43859649122807,0.5086461408688318
bard,2.5,assistant_axis,18.460526315789476,50.85526315789474,70.53947368421052,-0.8492583649534322
bartender,1.0,steered,50.776315789473685,50.776315789473685,38.223684210526315,0.0
bartender,1.0,assistant_axis,45.8640350877193,45.8640350877193,43.1359649122807,0.0
bartender,1.5,steered,61.72368421052632,50.776315789473685,27.276315789473678,0.28640275387263353
bartender,1.5,assistant_axis,48.84649122807018,45.8640350877193,40.15350877192982,0.06914082358922216
bartender,2.0,steered,75.0657894736842,50.776315789473685,13.934210526315795,0.6354561101549052
bartender,2.0,assistant_axis,38.89035087719298,45.8640350877193,50.10964912280702,-0.1616675139806814
bartender,2.5,steered,79.8157894736842,50.776315789473685,9.184210526315795,0.7597246127366608
bartender,2.5,assistant_axis,20.526315789473685,45.8640350877193,68.47368421052632,-0.5873919674631419
biologist,1.0,steered,57.7280701754386,57.7280701754386,31.271929824561397,0.0
biologist,1.0,assistant_axis,56.29385964912281,56.29385964912281,32.70614035087719,0.0
biologist,1.5,steered,57.8640350877193,57.7280701754386,31.1359649122807,0.004347826086956419
biologist,1.5,assistant_axis,54.18859649122807,56.29385964912281,34.81140350877193,-0.06436904921550231
biologist,2.0,steered,60.42982456140351,57.7280701754386,28.570175438596493,0.08639551192145838
biologist,2.0,assistant_axis,34.86842105263158,56.29385964912281,54.13157894736842,-0.6550891779536006
biologist,2.5,steered,60.93859649122807,57.7280701754386,28.06140350877193,0.10266479663394085
biologist,2.5,assistant_axis,12.149122807017545,56.29385964912281,76.85087719298245,-1.349738500737562
blogger,1.0,steered,74.57456140350877,74.57456140350877,14.425438596491233,0.0
blogger,1.0,assistant_axis,71.59210526315789,71.59210526315789,17.40789473684211,0.0
blogger,1.5,steered,79.77631578947368,74.57456140350877,9.223684210526315,0.3605959258133174
blogger,1.5,assistant_axis,71.5657894736842,71.59210526315789,17.434210526315795,-0.0015117157974301257
blogger,2.0,steered,84.53508771929825,74.57456140350877,4.464912280701753,0.6904834296138646
blogger,2.0,assistant_axis,55.46491228070175,71.59210526315789,33.53508771929825,-0.9264298311917355
blogger,2.5,steered,86.26754385964912,74.57456140350877,2.7324561403508767,0.810580723624202
blogger,2.5,assistant_axis,16.662280701754387,71.59210526315789,72.33771929824562,-3.1554547745023926
bohemian,1.0,steered,47.4780701754386,47.4780701754386,41.5219298245614,0.0
bohemian,1.0,assistant_axis,52.8859649122807,52.8859649122807,36.1140350877193,0.0
bohemian,1.5,steered,53.76315789473684,47.4780701754386,35.23684210526316,0.15136790958064844
bohemian,1.5,assistant_axis,60.01315789473684,52.8859649122807,28.986842105263158,0.19735244109788688
bohemian,2.0,steered,63.89912280701754,47.4780701754386,25.10087719298246,0.39547903242843546
bohemian,2.0,assistant_axis,60.3640350877193,52.8859649122807,28.6359649122807,0.207068253582706
bohemian,2.5,steered,72.89035087719299,47.4780701754386,16.109649122807014,0.6120207034963558
bohemian,2.5,assistant_axis,22.17543859649123,52.8859649122807,66.82456140350877,-0.8503764877337865
builder,1.0,steered,67.8201754385965,67.8201754385965,21.179824561403507,0.0
builder,1.0,assistant_axis,63.276315789473685,63.276315789473685,25.723684210526315,0.0
builder,1.5,steered,72.36842105263158,67.8201754385965,16.631578947368425,0.2147442534686268
builder,1.5,assistant_axis,63.84649122807018,63.276315789473685,25.153508771929822,0.02216538789428823
