role,steered_peak_alpha,steered_peak_score,aa_peak_alpha,aa_peak_score,peak_advantage,steered_wins
fixer,2.5,86.2280701754386,1.5,50.780701754385966,35.44736842105264,True
flaneur,2.5,81.75877192982456,1.5,51.15350877192982,30.60526315789474,True
fool,2.5,87.03508771929825,2.0,61.49122807017544,25.54385964912281,True
forecaster,2.5,77.76754385964912,1.0,72.14473684210526,5.622807017543863,True
futurist,2.5,79.06140350877193,1.5,74.35526315789474,4.706140350877192,True
gamer,2.5,45.87719298245614,1.5,33.71491228070175,12.162280701754383,True
generalist,2.0,93.01754385964912,1.0,90.69298245614036,2.324561403508767,True
genie,2.5,62.78947368421053,1.5,46.37280701754386,16.416666666666664,True
geographer,2.5,62.29824561403509,1.0,53.01754385964912,9.280701754385966,True
ghost,2.5,75.6842105263158,1.5,36.61842105263158,39.06578947368421,True
golem,2.5,58.00877192982456,1.5,36.52192982456141,21.48684210526315,True
gossip,2.5,70.61842105263158,1.5,41.719298245614034,28.89912280701754,True
grader,1.0,87.76315789473684,1.0,88.5701754385965,-0.8070175438596578,False
graduate,2.5,86.4298245614035,1.5,74.44298245614036,11.98684210526315,True
grandparent,2.5,74.84210526315789,1.5,62.47368421052632,12.368421052631568,True
guardian,2.5,81.41666666666667,1.5,68.82456140350877,12.592105263157904,True
guide,1.5,93.65350877192982,1.0,92.2280701754386,1.4254385964912188,True
guru,2.5,69.84210526315789,1.5,74.09210526315789,-4.25,False
hacker,2.5,76.54824561403508,1.5,38.53508771929825,38.013157894736835,True
healer,2.5,79.00877192982456,1.5,73.22368421052632,5.785087719298247,True
hedonist,2.5,57.64192139737991,1.5,35.48908296943232,22.152838427947593,True
hermit,2.5,58.30701754385965,2.0,44.68421052631579,13.622807017543863,True
historian,2.5,56.328947368421055,1.0,50.79385964912281,5.535087719298247,True
hive,2.5,72.0701754385965,1.5,40.37280701754386,31.69736842105263,True
hoarder,2.5,72.26754385964912,1.5,34.36842105263158,37.89912280701754,True
homunculus,2.5,88.62280701754386,1.5,43.22368421052632,45.39912280701754,True
hybrid,2.5,91.0701754385965,1.5,77.52631578947368,13.543859649122808,True
idealist,2.0,74.56140350877193,1.5,76.40350877192982,-1.8421052631578902,False
immigrant,2.5,65.10087719298245,1.5,51.42105263157895,13.6798245614035,True
improviser,2.5,90.95175438596492,1.5,62.28508771929825,28.66666666666667,True
infant,2.5,22.69736842105263,2.5,19.157894736842103,3.5394736842105274,True
influencer,2.5,84.10087719298245,1.5,64.95614035087719,19.14473684210526,True
instructor,1.0,92.82894736842104,1.0,92.4780701754386,0.3508771929824377,True
interpreter,2.0,69.7280701754386,1.5,65.78947368421052,3.9385964912280826,True
interviewer,2.0,80.95175438596492,1.0,78.0657894736842,2.8859649122807127,True
jester,2.5,72.97368421052632,1.5,39.578947368421055,33.39473684210526,True
journalist,2.5,82.26315789473684,1.5,67.45614035087719,14.807017543859644,True
judge,1.5,63.4780701754386,1.0,64.49122807017544,-1.0131578947368354,False
lawyer,2.5,63.25764192139738,1.5,61.99563318777293,1.262008733624448,True
leviathan,2.5,75.50438596491227,1.5,37.80701754385965,37.69736842105262,True
