O*NET-SOC Code	Element Name
25-2056.00	Reading Comprehension
25-2056.00	Active Listening
25-2056.00	Speaking
25-2056.00	Learning Strategies
25-2056.00	Instructing
25-2057.00	Active Listening
25-2057.00	Speaking
25-2057.00	Active Learning
25-2057.00	Learning Strategies
25-2057.00	Social Perceptiveness
25-2058.00	Reading Comprehension
25-2058.00	Active Listening
25-2058.00	Speaking
25-2058.00	Learning Strategies
25-2058.00	Instructing
25-3011.00	Reading Comprehension
25-3011.00	Active Listening
25-3011.00	Speaking
25-3011.00	Learning Strategies
25-3011.00	Instructing
25-3021.00	Reading Comprehension
25-3021.00	Active Listening
25-3021.00	Speaking
25-3021.00	Learning Strategies
25-3021.00	Instructing
25-3031.00	Reading Comprehension
25-3031.00	Active Listening
25-3031.00	Speaking
25-3031.00	Critical Thinking
25-3031.00	Social Perceptiveness
25-4012.00	Reading Comprehension
25-4012.00	Active Listening
25-4012.00	Writing
25-4012.00	Speaking
25-4012.00	Critical Thinking
25-4013.00	Reading Comprehension
25-4013.00	Active Listening
25-4013.00	Writing
25-4013.00	Speaking
25-4013.00	Critical Thinking
25-4022.00	Reading Comprehension
25-4022.00	Active Listening
25-4022.00	Writing
25-4022.00	Speaking
25-4022.00	Critical Thinking
25-4031.00	Reading Comprehension
25-4031.00	Active Listening
25-4031.00	Speaking
25-4031.00	Critical Thinking
25-4031.00	Service Orientation
25-9031.00	Reading Comprehension
25-9031.00	Writing
25-9031.00	Speaking
25-9031.00	Learning Strategies
25-9031.00	Instructing
25-9042.00	Reading Comprehension
25-9042.00	Active Listening
25-9042.00	Speaking
25-9042.00	Social Perceptiveness
25-9042.00	Coordination
25-9043.00	Reading Comprehension
25-9043.00	Active Listening
25-9043.00	Speaking
25-9043.00	Learning Strategies
25-9043.00	Social Perceptiveness
25-9044.00	Reading Comprehension
25-9044.00	Active Listening
25-9044.00	Speaking
25-9044.00	Learning Strategies
25-9044.00	Instructing
27-1011.00	Reading Comprehension
27-1011.00	Active Listening
27-1011.00	Speaking
27-1011.00	Critical Thinking
27-1011.00	Judgment and Decision Making
27-1013.00	Reading Comprehension
27-1013.00	Active Listening
27-1013.00	Speaking
27-1013.00	Critical Thinking
27-1013.00	Active Learning
27-1014.00	Reading Comprehension
27-1014.00	Active Listening
27-1014.00	Writing
27-1014.00	Speaking
27-1014.00	Critical Thinking
27-1021.00	Reading Comprehension
27-1021.00	Active Listening
27-1021.00	Speaking
27-1021.00	Critical Thinking
27-1021.00	Complex Problem Solving
27-1022.00	Active Listening
27-1022.00	Speaking
27-1022.00	Critical Thinking
27-1022.00	Active Learning
27-1022.00	Social Perceptiveness
27-1023.00	Active Listening
27-1023.00	Speaking
27-1023.00	Critical Thinking
27-1023.00	Social Perceptiveness
27-1023.00	Service Orientation
27-1026.00	Reading Comprehension
27-1026.00	Active Listening
27-1026.00	Speaking
27-1026.00	Critical Thinking
27-1026.00	Judgment and Decision Making
27-2011.00	Reading Comprehension
27-2011.00	Active Listening
27-2011.00	Speaking
27-2011.00	Critical Thinking
27-2011.00	Social Perceptiveness
27-2012.00	Reading Comprehension
27-2012.00	Active Listening
27-2012.00	Speaking
27-2012.00	Critical Thinking
27-2012.00	Monitoring
27-2012.03	Reading Comprehension
27-2012.03	Speaking
